student_id,first_name,last_name,email,course_id,grade,marks
0,Student0,Test0,student0@yahoo.com,DATA200,A,90
1,Student1,Test1,student1@yahoo.com,DATA200,A,91
2,Student2,Test2,student2@yahoo.com,DATA200,A,92
3,Student3,Test3,student3@yahoo.com,DATA200,A,93
4,Student4,Test4,student4@yahoo.com,DATA200,A,94
5,Student5,Test5,student5@yahoo.com,DATA200,A,95
6,Student6,Test6,student6@yahoo.com,DATA200,A,96
7,Student7,Test7,student7@yahoo.com,DATA200,A,97
8,Student8,Test8,student8@yahoo.com,DATA200,A,98
9,Student9,Test9,student9@yahoo.com,DATA200,A,99
10,Student10,Test10,student10@yahoo.com,DATA200,C,90
11,Student11,Test11,student11@yahoo.com,DATA200,A,91
12,Student12,Test12,student12@yahoo.com,DATA200,A,92
13,Student13,Test13,student13@yahoo.com,DATA200,A,93
14,Student14,Test14,student14@yahoo.com,DATA200,A,94
15,Student15,Test15,student15@yahoo.com,DATA200,A,95
16,Student16,Test16,student16@yahoo.com,DATA200,A,96
17,Student17,Test17,student17@yahoo.com,DATA200,A,97
18,Student18,Test18,student18@yahoo.com,DATA200,A,98
19,Student19,Test19,student19@yahoo.com,DATA200,A,99
20,Student20,Test20,student20@yahoo.com,DATA200,A,90
21,Student21,Test21,student21@yahoo.com,DATA200,A,91
22,Student22,Test22,student22@yahoo.com,DATA200,A,92
23,Student23,Test23,student23@yahoo.com,DATA200,A,93
24,Student24,Test24,student24@yahoo.com,DATA200,A,94
25,Student25,Test25,student25@yahoo.com,DATA200,A,95
26,Student26,Test26,student26@yahoo.com,DATA200,A,96
27,Student27,Test27,student27@yahoo.com,DATA200,A,97
28,Student28,Test28,student28@yahoo.com,DATA200,A,98
29,Student29,Test29,student29@yahoo.com,DATA200,A,99
30,Student30,Test30,student30@yahoo.com,DATA200,A,90
31,Student31,Test31,student31@yahoo.com,DATA200,A,91
32,Student32,Test32,student32@yahoo.com,DATA200,A,92
33,Student33,Test33,student33@yahoo.com,DATA200,A,93
34,Student34,Test34,student34@yahoo.com,DATA200,A,94
35,Student35,Test35,student35@yahoo.com,DATA200,A,95
36,Student36,Test36,student36@yahoo.com,DATA200,A,96
37,Student37,Test37,student37@yahoo.com,DATA200,A,97
38,Student38,Test38,student38@yahoo.com,DATA200,A,98
39,Student39,Test39,student39@yahoo.com,DATA200,A,99
40,Student40,Test40,student40@yahoo.com,DATA200,A,90
41,Student41,Test41,student41@yahoo.com,DATA200,A,91
42,Student42,Test42,student42@yahoo.com,DATA200,A,92
43,Student43,Test43,student43@yahoo.com,DATA200,A,93
44,Student44,Test44,student44@yahoo.com,DATA200,A,94
45,Student45,Test45,student45@yahoo.com,DATA200,A,95
46,Student46,Test46,student46@yahoo.com,DATA200,A,96
47,Student47,Test47,student47@yahoo.com,DATA200,A,97
48,Student48,Test48,student48@yahoo.com,DATA200,A,98
49,Student49,Test49,student49@yahoo.com,DATA200,A,99
50,Student50,Test50,student50@yahoo.com,DATA200,A,90
51,Student51,Test51,student51@yahoo.com,DATA200,A,91
52,Student52,Test52,student52@yahoo.com,DATA200,A,92
53,Student53,Test53,student53@yahoo.com,DATA200,A,93
54,Student54,Test54,student54@yahoo.com,DATA200,A,94
55,Student55,Test55,student55@yahoo.com,DATA200,A,95
56,Student56,Test56,student56@yahoo.com,DATA200,A,96
57,Student57,Test57,student57@yahoo.com,DATA200,A,97
58,Student58,Test58,student58@yahoo.com,DATA200,A,98
59,Student59,Test59,student59@yahoo.com,DATA200,A,99
60,Student60,Test60,student60@yahoo.com,DATA200,A,90
61,Student61,Test61,student61@yahoo.com,DATA200,A,91
62,Student62,Test62,student62@yahoo.com,DATA200,A,92
63,Student63,Test63,student63@yahoo.com,DATA200,A,93
64,Student64,Test64,student64@yahoo.com,DATA200,A,94
65,Student65,Test65,student65@yahoo.com,DATA200,A,95
66,Student66,Test66,student66@yahoo.com,DATA200,A,96
67,Student67,Test67,student67@yahoo.com,DATA200,A,97
68,Student68,Test68,student68@yahoo.com,DATA200,A,98
69,Student69,Test69,student69@yahoo.com,DATA200,A,99
70,Student70,Test70,student70@yahoo.com,DATA200,A,90
71,Student71,Test71,student71@yahoo.com,DATA200,A,91
72,Student72,Test72,student72@yahoo.com,DATA200,A,92
73,Student73,Test73,student73@yahoo.com,DATA200,A,93
74,Student74,Test74,student74@yahoo.com,DATA200,A,94
75,Student75,Test75,student75@yahoo.com,DATA200,A,95
76,Student76,Test76,student76@yahoo.com,DATA200,A,96
77,Student77,Test77,student77@yahoo.com,DATA200,A,97
78,Student78,Test78,student78@yahoo.com,DATA200,A,98
79,Student79,Test79,student79@yahoo.com,DATA200,A,99
80,Student80,Test80,student80@yahoo.com,DATA200,A,90
81,Student81,Test81,student81@yahoo.com,DATA200,A,91
82,Student82,Test82,student82@yahoo.com,DATA200,A,92
83,Student83,Test83,student83@yahoo.com,DATA200,A,93
84,Student84,Test84,student84@yahoo.com,DATA200,A,94
85,Student85,Test85,student85@yahoo.com,DATA200,A,95
86,Student86,Test86,student86@yahoo.com,DATA200,A,96
87,Student87,Test87,student87@yahoo.com,DATA200,A,97
88,Student88,Test88,student88@yahoo.com,DATA200,A,98
89,Student89,Test89,student89@yahoo.com,DATA200,A,99
90,Student90,Test90,student90@yahoo.com,DATA200,A,90
91,Student91,Test91,student91@yahoo.com,DATA200,A,91
92,Student92,Test92,student92@yahoo.com,DATA200,A,92
93,Student93,Test93,student93@yahoo.com,DATA200,A,93
94,Student94,Test94,student94@yahoo.com,DATA200,A,94
95,Student95,Test95,student95@yahoo.com,DATA200,A,95
96,Student96,Test96,student96@yahoo.com,DATA200,A,96
97,Student97,Test97,student97@yahoo.com,DATA200,A,97
98,Student98,Test98,student98@yahoo.com,DATA200,A,98
99,Student99,Test99,student99@yahoo.com,DATA200,A,99
100,Student100,Test100,student100@yahoo.com,DATA200,A,90
101,Student101,Test101,student101@yahoo.com,DATA200,A,91
102,Student102,Test102,student102@yahoo.com,DATA200,A,92
103,Student103,Test103,student103@yahoo.com,DATA200,A,93
104,Student104,Test104,student104@yahoo.com,DATA200,A,94
105,Student105,Test105,student105@yahoo.com,DATA200,A,95
106,Student106,Test106,student106@yahoo.com,DATA200,A,96
107,Student107,Test107,student107@yahoo.com,DATA200,A,97
108,Student108,Test108,student108@yahoo.com,DATA200,A,98
109,Student109,Test109,student109@yahoo.com,DATA200,A,99
110,Student110,Test110,student110@yahoo.com,DATA200,A,90
111,Student111,Test111,student111@yahoo.com,DATA200,A,91
112,Student112,Test112,student112@yahoo.com,DATA200,A,92
113,Student113,Test113,student113@yahoo.com,DATA200,A,93
114,Student114,Test114,student114@yahoo.com,DATA200,A,94
115,Student115,Test115,student115@yahoo.com,DATA200,A,95
116,Student116,Test116,student116@yahoo.com,DATA200,A,96
117,Student117,Test117,student117@yahoo.com,DATA200,A,97
118,Student118,Test118,student118@yahoo.com,DATA200,A,98
119,Student119,Test119,student119@yahoo.com,DATA200,A,99
120,Student120,Test120,student120@yahoo.com,DATA200,A,90
121,Student121,Test121,student121@yahoo.com,DATA200,A,91
122,Student122,Test122,student122@yahoo.com,DATA200,A,92
123,Student123,Test123,student123@yahoo.com,DATA200,A,93
124,Student124,Test124,student124@yahoo.com,DATA200,A,94
125,Student125,Test125,student125@yahoo.com,DATA200,A,95
126,Student126,Test126,student126@yahoo.com,DATA200,A,96
127,Student127,Test127,student127@yahoo.com,DATA200,A,97
128,Student128,Test128,student128@yahoo.com,DATA200,A,98
129,Student129,Test129,student129@yahoo.com,DATA200,A,99
130,Student130,Test130,student130@yahoo.com,DATA200,A,90
131,Student131,Test131,student131@yahoo.com,DATA200,A,91
132,Student132,Test132,student132@yahoo.com,DATA200,A,92
133,Student133,Test133,student133@yahoo.com,DATA200,A,93
134,Student134,Test134,student134@yahoo.com,DATA200,A,94
135,Student135,Test135,student135@yahoo.com,DATA200,A,95
136,Student136,Test136,student136@yahoo.com,DATA200,A,96
137,Student137,Test137,student137@yahoo.com,DATA200,A,97
138,Student138,Test138,student138@yahoo.com,DATA200,A,98
139,Student139,Test139,student139@yahoo.com,DATA200,A,99
140,Student140,Test140,student140@yahoo.com,DATA200,A,90
141,Student141,Test141,student141@yahoo.com,DATA200,A,91
142,Student142,Test142,student142@yahoo.com,DATA200,A,92
143,Student143,Test143,student143@yahoo.com,DATA200,A,93
144,Student144,Test144,student144@yahoo.com,DATA200,A,94
145,Student145,Test145,student145@yahoo.com,DATA200,A,95
146,Student146,Test146,student146@yahoo.com,DATA200,A,96
147,Student147,Test147,student147@yahoo.com,DATA200,A,97
148,Student148,Test148,student148@yahoo.com,DATA200,A,98
149,Student149,Test149,student149@yahoo.com,DATA200,A,99
150,Student150,Test150,student150@yahoo.com,DATA200,A,90
151,Student151,Test151,student151@yahoo.com,DATA200,A,91
152,Student152,Test152,student152@yahoo.com,DATA200,A,92
153,Student153,Test153,student153@yahoo.com,DATA200,A,93
154,Student154,Test154,student154@yahoo.com,DATA200,A,94
155,Student155,Test155,student155@yahoo.com,DATA200,A,95
156,Student156,Test156,student156@yahoo.com,DATA200,A,96
157,Student157,Test157,student157@yahoo.com,DATA200,A,97
158,Student158,Test158,student158@yahoo.com,DATA200,A,98
159,Student159,Test159,student159@yahoo.com,DATA200,A,99
160,Student160,Test160,student160@yahoo.com,DATA200,A,90
161,Student161,Test161,student161@yahoo.com,DATA200,A,91
162,Student162,Test162,student162@yahoo.com,DATA200,A,92
163,Student163,Test163,student163@yahoo.com,DATA200,A,93
164,Student164,Test164,student164@yahoo.com,DATA200,A,94
165,Student165,Test165,student165@yahoo.com,DATA200,A,95
166,Student166,Test166,student166@yahoo.com,DATA200,A,96
167,Student167,Test167,student167@yahoo.com,DATA200,A,97
168,Student168,Test168,student168@yahoo.com,DATA200,A,98
169,Student169,Test169,student169@yahoo.com,DATA200,A,99
170,Student170,Test170,student170@yahoo.com,DATA200,A,90
171,Student171,Test171,student171@yahoo.com,DATA200,A,91
172,Student172,Test172,student172@yahoo.com,DATA200,A,92
173,Student173,Test173,student173@yahoo.com,DATA200,A,93
174,Student174,Test174,student174@yahoo.com,DATA200,A,94
175,Student175,Test175,student175@yahoo.com,DATA200,A,95
176,Student176,Test176,student176@yahoo.com,DATA200,A,96
177,Student177,Test177,student177@yahoo.com,DATA200,A,97
178,Student178,Test178,student178@yahoo.com,DATA200,A,98
179,Student179,Test179,student179@yahoo.com,DATA200,A,99
180,Student180,Test180,student180@yahoo.com,DATA200,A,90
181,Student181,Test181,student181@yahoo.com,DATA200,A,91
182,Student182,Test182,student182@yahoo.com,DATA200,A,92
183,Student183,Test183,student183@yahoo.com,DATA200,A,93
